,Treasury Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2023-12-31,0.0,12460000000.0,12460000000.0,28504000000.0,254181000000.0,295249000000.0,89716000000.0,254181000000.0,16634000000.0,283379000000.0,295249000000.0,283379000000.0,283379000000.0,-4402000000.0,-4402000000.0,211247000000.0,76534000000.0,76534000000.0,0.0,119013000000.0,37199000000.0,1616000000.0,8474000000.0,1396000000.0,911000000.0,485000000.0,25713000000.0,13843000000.0,11870000000.0,81814000000.0,9525000000.0,4137000000.0,4137000000.0,2791000000.0,2791000000.0,15140000000.0,50221000000.0,39980000000.0,10241000000.0,,2748000000.0,2748000000.0,7493000000.0,402392000000.0,230862000000.0,10051000000.0,12169000000.0,12169000000.0,31008000000.0,31008000000.0,31008000000.0,29198000000.0,,29198000000.0,148436000000.0,-67458000000.0,215894000000.0,11425000000.0,35229000000.0,94685000000.0,472000000.0,74083000000.0,0.0,171530000000.0,12650000000.0,,47964000000.0,,47964000000.0,-771000000.0,48735000000.0,110916000000.0,86868000000.0,24048000000.0
2022-12-31,,12849000000.0,12849000000.0,29679000000.0,227184000000.0,269001000000.0,95495000000.0,227184000000.0,16822000000.0,256144000000.0,269001000000.0,256144000000.0,256144000000.0,-7603000000.0,-7603000000.0,195563000000.0,68184000000.0,68184000000.0,0.0,109120000000.0,39820000000.0,2247000000.0,9258000000.0,1113000000.0,599000000.0,514000000.0,27202000000.0,14345000000.0,12857000000.0,69300000000.0,9106000000.0,3908000000.0,3908000000.0,2477000000.0,2477000000.0,14028000000.0,39781000000.0,33021000000.0,6760000000.0,,1632000000.0,1632000000.0,5128000000.0,365264000000.0,200469000000.0,8707000000.0,5261000000.0,5261000000.0,30492000000.0,30492000000.0,30492000000.0,28960000000.0,2084000000.0,28960000000.0,127049000000.0,-59042000000.0,186091000000.0,10575000000.0,27657000000.0,80648000000.0,314000000.0,66897000000.0,0.0,164795000000.0,10775000000.0,2670000000.0,40258000000.0,,40258000000.0,-754000000.0,41012000000.0,113762000000.0,91883000000.0,21879000000.0
2021-12-31,,13242420000.0,13242420000.0,28395000000.0,227262000000.0,264479000000.0,123889000000.0,227262000000.0,15551000000.0,251635000000.0,264479000000.0,251635000000.0,251635000000.0,-1623000000.0,-1623000000.0,191484000000.0,61774000000.0,61774000000.0,0.0,107633000000.0,43379000000.0,2205000000.0,9176000000.0,5792000000.0,535000000.0,5257000000.0,26206000000.0,13362000000.0,12844000000.0,64254000000.0,9799000000.0,3288000000.0,3288000000.0,2189000000.0,2189000000.0,13889000000.0,35089000000.0,29052000000.0,6037000000.0,397000000.0,808000000.0,808000000.0,6037000000.0,359268000000.0,171125000000.0,5361000000.0,1284000000.0,1284000000.0,29549000000.0,29549000000.0,29549000000.0,24373000000.0,1417000000.0,22956000000.0,110558000000.0,-49414000000.0,159972000000.0,9146000000.0,23172000000.0,68565000000.0,208000000.0,58881000000.0,0.0,188143000000.0,8020000000.0,1170000000.0,39304000000.0,966000000.0,39304000000.0,-550000000.0,39854000000.0,139649000000.0,118704000000.0,20945000000.0
2020-12-31,,13504440000.0,13504440000.0,26772000000.0,199924000000.0,235376000000.0,117462000000.0,199924000000.0,13940000000.0,222544000000.0,235376000000.0,222544000000.0,222544000000.0,633000000.0,633000000.0,163401000000.0,58510000000.0,58510000000.0,0.0,97072000000.0,40238000000.0,2269000000.0,8849000000.0,4042000000.0,481000000.0,3561000000.0,25078000000.0,12246000000.0,12832000000.0,56834000000.0,10409000000.0,2543000000.0,2543000000.0,1694000000.0,1694000000.0,11086000000.0,31102000000.0,23274000000.0,7828000000.0,754000000.0,1485000000.0,1485000000.0,5589000000.0,319616000000.0,145320000000.0,3953000000.0,1084000000.0,1084000000.0,20703000000.0,20703000000.0,20703000000.0,22620000000.0,1445000000.0,21175000000.0,96960000000.0,-41713000000.0,138673000000.0,7516000000.0,23111000000.0,58117000000.0,197000000.0,49732000000.0,0.0,174296000000.0,5490000000.0,728000000.0,31384000000.0,454000000.0,30930000000.0,-789000000.0,31719000000.0,136694000000.0,110229000000.0,26465000000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979000000.0,,,,,,,,,,,,,999000000.0,,2166000000.0,,,,,,
