,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Employee Benefits,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2024-01-31,,24640000000.0,24640000000.0,2429000000.0,11056000000.0,37436000000.0,52687000000.0,33714000000.0,37436000000.0,1347000000.0,42978000000.0,51437000000.0,42978000000.0,42978000000.0,27000000.0,27000000.0,,29817000000.0,13132000000.0,2000000.0,2000000.0,0.0,22750000000.0,12119000000.0,65000000.0,,1441000000.0,1035000000.0,573000000.0,462000000.0,9578000000.0,1119000000.0,8459000000.0,10631000000.0,199000000.0,764000000.0,764000000.0,1478000000.0,228000000.0,1250000000.0,1250000000.0,415000000.0,7775000000.0,4780000000.0,,2995000000.0,,296000000.0,2699000000.0,65728000000.0,21383000000.0,132000000.0,2822000000.0,6081000000.0,6081000000.0,1546000000.0,1546000000.0,5542000000.0,1112000000.0,4430000000.0,5260000000.0,-3509000000.0,8769000000.0,,189000000.0,1346000000.0,5200000000.0,1816000000.0,218000000.0,0.0,44345000000.0,3080000000.0,,5282000000.0,2058000000.0,1505000000.0,1719000000.0,9999000000.0,9999000000.0,,,25984000000.0,18704000000.0,7280000000.0
2023-01-31,,24661365720.0,24661365720.0,7564000000.0,12031000000.0,16053000000.0,33054000000.0,16510000000.0,16053000000.0,1078000000.0,22101000000.0,31804000000.0,22101000000.0,22101000000.0,-43000000.0,-43000000.0,,10171000000.0,11971000000.0,2000000.0,2000000.0,0.0,19081000000.0,12518000000.0,63000000.0,,1385000000.0,465000000.0,218000000.0,247000000.0,10605000000.0,902000000.0,9703000000.0,6563000000.0,69000000.0,354000000.0,354000000.0,1426000000.0,176000000.0,1250000000.0,1250000000.0,108000000.0,4606000000.0,2946000000.0,,1660000000.0,,467000000.0,1193000000.0,41182000000.0,18109000000.0,145000000.0,3376000000.0,3396000000.0,3396000000.0,299000000.0,299000000.0,6048000000.0,1676000000.0,4372000000.0,4845000000.0,-2694000000.0,7539000000.0,,382000000.0,1038000000.0,4303000000.0,1598000000.0,218000000.0,0.0,23073000000.0,791000000.0,,5159000000.0,2263000000.0,466000000.0,2430000000.0,3827000000.0,3827000000.0,,,13296000000.0,9907000000.0,3389000000.0
2022-01-31,,25060000000.0,25060000000.0,8956000000.0,11831000000.0,19924000000.0,37558000000.0,24494000000.0,19924000000.0,885000000.0,26612000000.0,37558000000.0,26612000000.0,26612000000.0,-11000000.0,-11000000.0,0.0,16235000000.0,10385000000.0,3000000.0,3000000.0,0.0,17575000000.0,13240000000.0,49000000.0,,1057000000.0,447000000.0,202000000.0,245000000.0,11687000000.0,741000000.0,10946000000.0,4335000000.0,371000000.0,300000000.0,300000000.0,144000000.0,144000000.0,,,,3520000000.0,1605000000.0,,1915000000.0,,132000000.0,1783000000.0,44187000000.0,15358000000.0,66000000.0,3509000000.0,1222000000.0,1222000000.0,266000000.0,266000000.0,6688000000.0,2339000000.0,4349000000.0,3607000000.0,-1903000000.0,5510000000.0,,737000000.0,829000000.0,2852000000.0,874000000.0,218000000.0,0.0,28829000000.0,366000000.0,366000000.0,2605000000.0,1122000000.0,692000000.0,791000000.0,4650000000.0,4650000000.0,,,21208000000.0,19218000000.0,1990000000.0
2021-01-31,13800000000.0,24800000000.0,38600000000.0,6116000000.0,7597000000.0,9963000000.0,23856000000.0,12130000000.0,9963000000.0,634000000.0,16893000000.0,22857000000.0,16893000000.0,16893000000.0,19000000.0,19000000.0,10756000000.0,18908000000.0,8719000000.0,3000000.0,3000000.0,0.0,11898000000.0,7973000000.0,135000000.0,33000000.0,836000000.0,404000000.0,163000000.0,241000000.0,6598000000.0,634000000.0,5964000000.0,3925000000.0,510000000.0,288000000.0,288000000.0,999000000.0,121000000.0,999000000.0,999000000.0,,2128000000.0,979000000.0,74000000.0,1149000000.0,,61000000.0,1149000000.0,28791000000.0,12736000000.0,203000000.0,1797000000.0,806000000.0,806000000.0,144000000.0,144000000.0,6930000000.0,2737000000.0,4193000000.0,2856000000.0,-1408000000.0,4264000000.0,385000000.0,558000000.0,707000000.0,1985000000.0,796000000.0,218000000.0,0.0,16055000000.0,239000000.0,239000000.0,1826000000.0,737000000.0,457000000.0,632000000.0,2429000000.0,2429000000.0,-21000000.0,2450000000.0,11561000000.0,10714000000.0,847000000.0
2020-01-31,13700576960.0,,,,,,,,,,,,,,,,9814000000.0,,,,,,,,,22000000.0,,,,,,,,,,,,,,,,,,,20000000.0,,54000000.0,,,,,,,,,,,,,,,,,293000000.0,,,,,,,,,157000000.0,,,,,,,-11000000.0,1668000000.0,,,
