,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Receivables,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2023-12-31,16078268.0,432759584.0,448837852.0,7426348000.0,14543261000.0,-11069743000.0,35131574000.0,1057478000.0,-11069743000.0,20588313000.0,34731730000.0,20588313000.0,20588313000.0,-223945000.0,-223945000.0,6922200000.0,22589286000.0,5145172000.0,5145172000.0,0.0,28143679000.0,19283024000.0,5139607000.0,14143417000.0,14143417000.0,8860655000.0,4466470000.0,1442969000.0,1442969000.0,399844000.0,399844000.0,2551372000.0,1803960000.0,747412000.0,747412000.0,48731992000.0,38813859000.0,5664359000.0,31658056000.0,31658056000.0,1491444000.0,-855043000.0,2346487000.0,1032492000.0,406492000.0,,668338000.0,150736000.0,88429000.0,0.0,9918133000.0,529257000.0,408936000.0,1842054000.0,,555000000.0,1287054000.0,7137886000.0,20973000.0,7116913000.0,1130284000.0,5986629000.0
2022-12-31,1564478.0,445346776.0,446911254.0,9205900000.0,14353076000.0,-11959312000.0,35130477000.0,1335499000.0,-11959312000.0,20777401000.0,35130477000.0,20777401000.0,20777401000.0,-217306000.0,-217306000.0,824190000.0,17181296000.0,4637601000.0,4637601000.0,0.0,27817367000.0,19886393000.0,5533317000.0,14353076000.0,14353076000.0,7930974000.0,4480150000.0,1264661000.0,1264661000.0,,,2186163000.0,1514650000.0,671513000.0,671513000.0,48594768000.0,39328295000.0,5193325000.0,32736713000.0,32736713000.0,1398257000.0,-753741000.0,2151998000.0,1040570000.0,235555000.0,,738762000.0,52106000.0,85005000.0,0.0,9266473000.0,1228388000.0,392735000.0,1586898000.0,,598000000.0,988898000.0,6058452000.0,911276000.0,5147176000.0,1075592000.0,4071584000.0
2021-12-31,1564478.0,443963107.0,445527585.0,9365091000.0,15392895000.0,-15070291000.0,31242143000.0,-419141000.0,-15070291000.0,15849248000.0,30542320000.0,15849248000.0,15849248000.0,-40495000.0,-40495000.0,824190000.0,12689372000.0,4024561000.0,4024561000.0,0.0,28735415000.0,20246449000.0,5553377000.0,14693072000.0,14693072000.0,8488966000.0,4292967000.0,1209342000.0,1209342000.0,699823000.0,699823000.0,2286834000.0,1449351000.0,837483000.0,837483000.0,44584663000.0,36514838000.0,4271846000.0,30919539000.0,30919539000.0,1323453000.0,-616306000.0,1939759000.0,863342000.0,282248000.0,380452000.0,663665000.0,48123000.0,82381000.0,0.0,8069825000.0,913883000.0,323818000.0,804320000.0,,,804320000.0,6027804000.0,0.0,6027804000.0,1924191000.0,4103613000.0
2020-12-31,,442895261.0,442895261.0,8103423000.0,16308973000.0,-14318710000.0,27374213000.0,1955795000.0,-14318710000.0,11065240000.0,26874335000.0,11065240000.0,11065240000.0,44398000.0,44398000.0,0.0,7573144000.0,3447698000.0,3447698000.0,0.0,28215119000.0,20409334000.0,4600239000.0,15809095000.0,15809095000.0,7805785000.0,4429536000.0,1117992000.0,1117992000.0,499878000.0,499878000.0,1758379000.0,1102196000.0,656183000.0,656183000.0,39280359000.0,29518779000.0,3174646000.0,25383950000.0,25383950000.0,960183000.0,-494790000.0,1454973000.0,524537000.0,298558000.0,283014000.0,255447000.0,42717000.0,50700000.0,0.0,9761580000.0,742169000.0,203042000.0,610819000.0,,,610819000.0,8205550000.0,,8205550000.0,4873690000.0,3331860000.0
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243565000.0,,,,,,,,,524669000.0,,,,,,,
