date,open,high,low,close,volume
2021-06-15,40524.04,41391.73,39546.46,40291.7,1686.877036
2021-06-16,40305.53,40562.89,38111.0,38825.69,1841.063495
2021-06-17,38812.01,39546.92,37212.48,37936.56,1975.898847
2021-06-18,37941.58,38116.68,34842.44,35199.43,2310.296678
2021-06-19,35205.35,36457.37,35133.34,35808.19,1727.799626
2021-06-20,35806.71,36121.12,33343.97,34235.0,2257.007939
2021-06-21,34235.0,34554.62,31139.62,32637.33,4929.400458
2021-06-22,32607.83,34393.19,28810.0,33822.39,5373.792731
2021-06-23,33820.24,34835.26,32326.88,32550.98,2555.081469
2021-06-24,32554.17,35500.0,32483.11,34768.44,1908.997015
2021-06-25,34774.43,34884.6,31281.58,32352.11,2718.322078
2021-06-26,32349.27,33330.27,30167.0,33166.36,2823.927711
2021-06-27,33166.45,34984.97,32373.59,34361.9,1949.328076
2021-06-28,34363.04,35300.0,33800.33,34864.02,1727.789541
2021-06-29,34882.67,36625.0,34564.36,34751.43,1830.97139
2021-06-30,34754.82,35339.57,34051.91,34335.13,1615.277597
2021-07-01,34342.77,34467.52,32676.72,33146.55,1886.406823
2021-07-02,33151.23,33914.18,32705.88,33665.62,1453.150917
2021-07-03,33680.79,34954.45,33593.6,34776.65,957.074248
2021-07-04,34770.74,35961.06,34038.61,34209.85,1081.102486
2021-07-05,34208.9,34796.71,33139.82,34667.26,1143.564718
2021-07-06,34677.74,35130.98,33526.73,34722.6,1246.636578
2021-07-07,34726.99,35067.69,33058.86,33318.67,1033.147574
2021-07-08,33316.04,33520.14,32102.02,33036.69,1365.608107
2021-07-09,33031.03,34259.55,32621.23,33657.03,909.06038
2021-07-10,33648.1,34190.08,33027.45,33459.62,601.341591
2021-07-11,33466.51,34675.25,33374.43,34297.75,704.534984
2021-07-12,34305.66,34500.39,32662.27,33118.06,1277.919274
2021-07-13,33120.36,33343.92,31661.69,31942.22,1216.904936
2021-07-14,31942.22,33184.29,31577.13,32652.52,918.187402
2021-07-15,32663.45,32663.45,31142.56,31913.04,1078.608129
2021-07-16,31914.64,32274.48,31025.01,31395.9,985.364098
2021-07-17,31394.87,32430.32,31264.27,32086.33,789.626368
2021-07-18,32093.33,32140.16,31143.03,31745.48,719.037274
2021-07-19,31759.93,31899.98,29509.14,29667.11,1337.03087
2021-07-20,29666.06,30803.64,29295.61,30697.42,1234.390943
2021-07-21,30698.54,32853.53,30559.5,32058.49,1685.076659
2021-07-22,32062.68,32794.53,31727.19,32690.24,844.580569
2021-07-23,32689.1,33855.04,31999.99,33708.83,891.55826
2021-07-24,33724.86,34518.0,33562.5,34383.22,889.658537
2021-07-25,34391.59,39764.32,33883.79,38295.07,2017.955086
2021-07-26,38300.0,40567.3,36413.49,36977.92,3974.819824
2021-07-27,36976.07,40354.91,36911.68,39696.1,3334.746042
2021-07-28,39695.13,40917.92,38810.1,39992.64,3374.14022
2021-07-29,39985.43,40650.0,39408.92,39818.53,1436.873181
2021-07-30,39818.53,42416.99,38342.35,41831.83,2242.883349
2021-07-31,41832.57,42610.97,41067.5,42067.31,1403.424506
2021-08-01,42074.92,42169.58,39250.0,39669.64,1934.850029
2021-08-02,39665.94,40464.42,38235.34,38327.39,1778.830348
2021-08-03,38320.88,38805.06,37620.0,37951.49,2061.853402
2021-08-04,37958.74,39969.15,37502.0,39357.93,2386.514786
2021-08-05,39354.17,41414.61,37326.25,40168.01,3598.240831
2021-08-06,40168.01,43954.66,40131.21,43319.48,2524.008284
2021-08-07,43327.36,44814.67,42472.2,44373.84,2486.366718
